Galaxy         RA          DEC          z        B_T   Morphology          mB     mBunc d25     d25b/a PA   u      uunc   dist   d_unc  emily LVL
               J2000       J2000                 mag   NED                 mag    mag   arcsecs        deg  mag    mag    Mpc    Mpc    boo   boo
MESSIER063     13h15m49.3s +42d01m45s   0.001614 9.310 SA(rs)bc            9.570  0.15  755.40  0.57   105. 29.55  0.5200 8.330  1.870  0     1     
NGC5229        13h34m02.8s +47d54m56s   0.001214 14.30 SB(s)d?/edge-on     14.30  0.20  198.70  0.17   167. 28.78  0.3300 5.770  0.9000 0     1     
NGC5273        13h42m08.3s +35d39m15s   0.003549 12.50 SA0^0(s)            12.36  0.13  165.30  0.91   10.0 31.22  0.3800 17.70  3.170  0     0     
UGC08839       13h55m25.0s +17d47m42s   0.003192 13.60 Im                  13.60  0.90  238.90  0.68   120  31.73  NaN    22.20  NaN    1     0     
NGC5523        14h14m52.3s +25d19m03s   0.003466 12.75 SA(s)cd?            12.75  0.17  274.30  0.28   99.0 31.50  0.1700 19.98  1.530  0     0     
NGC5608        14h23m17.9s +41d46m33s   0.002212 13.90 Im?                 13.90  0.30  157.80  0.51   95.0 30.88  0.5100 15.20  3.540  1     0     
ESO290-G028    22h57m09.0s -42d48m16s   0.003102 14.50 SBdm?/edge-on       14.26  0.21  208.00  0.14   91.0 28.67  2.250  6.960  6.140  0     0     
NGC7713        23h36m15.0s -37d56m17s   0.002308 11.60 SB(r)d?             11.67  0.16  268.00  0.41   168. 30.04  0.3000 10.27  1.390  1     0     
UGCA442        23h43m45.6s -31d57m24s   0.000891 13.50 SB(s)m?/edge-on     13.44  0.21  212.90  0.18   48.0 28.76  0.8700 6.040  2.330  0     1     
ESO348-G009    23h49m23.5s -37d46m19s   0.002161 13.60 IB(s)m              NaN    NaN   143.90  0.41   83.0 29.43  NaN    7.700  NaN    0     0     
ESO149-G003    23h52m02.8s -52d34m40s   0.001968 15.00 IB(s)m?/edge-on     15.00  0.21  131.30  0.18   148. 28.98  0.0700 6.250  0.2100 0     0     
NGC7793        23h57m49.8s -32d35m28s   0.000757 9.980 SA(s)d              9.650  0.17  560.00  0.68   98.0 28.06  0.4100 4.170  0.7900 0     1     
